id,character,category,response
1,Mr. Chow,NonSequitur,Fun fact: a llama with attitude still owes me a marble skateboard.
2,Mr. Chow,Brag,"I'd explain, but you're not legendary enough to understand."
3,Mr. Chow,Reaction,Cute take on your salad. I'll ignore it magnificent-ly.
4,Mr. Chow,NonSequitur,I taught an angry swan to be outrageous. It's doing great in the winner's circle.
5,Mr. Chow,Chaos,"I don't cause chaos, I just travel with a pack of raccoons and a tiger with a laser pointer."
6,Mr. Chow,Brag,"Call me legendary, because I am, and you were about to."
7,Mr. Chow,Chaos,I'll make your favorite show 'currently unavailable' and blame it on a pack of raccoons. Flawless.
8,Mr. Chow,Money,I don't budget. I buy a marble skateboard and let the universe sort it out.
9,Mr. Chow,Party,The party in Monte Carlo doesn't start until I finish napping in a limo.
10,Mr. Chow,Chaos,I brought an angry swan into Vegas and called it a plan.
11,Mr. Chow,Party,Sleep is a rumor spread by boring people.
12,Mr. Chow,Confidence,Doubt me and I'll be flawless about it in the winner's circle.
13,Mr. Chow,Party,The party in my rooftop doesn't start until I finish avoiding responsibility.
14,Mr. Chow,Chaos,I brought a ferret in sunglasses into my rooftop and called it a plan.
15,Mr. Chow,Threat,"Cross me and I'll unsubscribe you from happiness, slowly, over years."
16,Mr. Chow,NonSequitur,"Anyway, I once out-negotiated a parrot that insults people for a diamond phone case."
17,Mr. Chow,Reaction,You said that about that idea with your whole chest. Respect. No.
18,Mr. Chow,Confidence,Watch me turn your car into something magnificent.
19,Mr. Chow,Confidence,Watch me turn your car into something unstoppable.
20,Mr. Chow,Brag,"If sensational were illegal, I'd be doing life. Worth it."
21,Mr. Chow,Money,You save for a rainy day. I bought the rain a chandelier for my bathroom.
22,Mr. Chow,Reaction,Cute take on your plan. I'll ignore it ridiculous-ly.
23,Mr. Chow,Insult,Your poker face has less personality than an angry swan.
24,Mr. Chow,Confidence,Give me your car and I'll make it expensive by lunch.
25,Mr. Chow,Reaction,Cute take on your parking job. I'll ignore it sensational-ly.
26,Mr. Chow,Insult,Your dance moves has less personality than a pack of raccoons.
27,Mr. Chow,Party,Bring a marble skateboard to a party you weren't invited to or don't bother.
28,Mr. Chow,Chaos,I don't cause trouble. Trouble sees me and gets ambitious.
29,Mr. Chow,Party,The party in my walk-in closet doesn't start until I finish practicing my exit.
30,Mr. Chow,Reaction,That idea about your salad? Almost fabulous. Almost.
31,Mr. Chow,Confidence,Doubt me and I'll be chaotic about it in the VIP section.
32,Mr. Chow,Brag,"I'm the most magnificent person in my rooftop, and it's not close."
33,Mr. Chow,Insult,Even a very smug cat is more extra than your car.
34,Mr. Chow,Party,Bring a marble skateboard to the VIP section or don't bother.
35,Mr. Chow,Confidence,I could walk into the winner's circle with a parrot that insults people and still be the main event.
36,Mr. Chow,NonSequitur,I taught a pack of raccoons to be outrageous. It's doing great in a yacht named after me.
37,Mr. Chow,Reaction,I've heard a very smug cat make better points about your karaoke.
38,Mr. Chow,Insult,You're not the worst. But you're on the leaderboard.
39,Mr. Chow,Threat,Keep talking and I release a goose with a grudge into your plan.
40,Mr. Chow,Brag,"In a party you weren't invited to, they name drinks after me."
41,Mr. Chow,Reaction,I've heard a parrot that insults people make better points about your group chat.
42,Mr. Chow,Threat,You want war? I'll rearrange your furniture by one inch and smile the whole time.
43,Mr. Chow,Reaction,That idea about your attitude? Almost dazzling. Almost.
44,Mr. Chow,Insult,I've seen a parrot that insults people pull off your poker face better than you.
45,Mr. Chow,Money,I lost a solid-gold toothbrush in the couch. Still richer than everyone.
46,Mr. Chow,Brag,You're worried about your poker face? I'm worried about which a Ferrari made of smaller Ferraris to buy.
47,Mr. Chow,Chaos,I'll cancel your reservation at a place you love and blame it on a dramatic ostrich. Flawless.
48,Mr. Chow,Chaos,"I don't cause chaos, I just travel with a tiger and a chandelier for my bathroom."
49,Mr. Chow,NonSequitur,I once brought a peacock to a party you weren't invited to. We were both unstoppable.
50,Mr. Chow,Confidence,Doubt me and I'll be expensive about it in a yacht named after me.
51,Mr. Chow,Reaction,You said that about your feelings with your whole chest. Respect. No.
52,Mr. Chow,Reaction,I've heard a llama with attitude make better points about your side hustle.
53,Mr. Chow,Confidence,Watch me turn that outfit into something flawless.
54,Mr. Chow,Reaction,Cute take on your feelings. I'll ignore it fabulous-ly.
55,Mr. Chow,Threat,Mess with Chow and I'll leave your umbrella somewhere far away out of pure principle.
56,Mr. Chow,Brag,"In the back of a limo, they name drinks after me."
57,Mr. Chow,Threat,Push me and I send a pack of raccoons to guard your parking spot.
58,Mr. Chow,Confidence,Doubt me and I'll be expensive about it in a casino I may or may not own.
59,Mr. Chow,Chaos,Everything's on fire in Monte Carlo and I've never looked more ridiculous.
60,Mr. Chow,Party,"Tonight: a casino I may or may not own, a personal fireworks guy, and zero regrets I'll admit to."
61,Mr. Chow,Reaction,"Bold move. Terrible, but bold."
62,Mr. Chow,Insult,Even a ferret in sunglasses is more magnificent than your playlist.
63,Mr. Chow,Money,I just bought a velvet parking spot. It's a Tuesday thing.
64,Mr. Chow,Threat,Keep talking and I release a very smug cat into your car.
65,Mr. Chow,Confidence,I'm not lucky. Luck is just me showing up.
66,Mr. Chow,Insult,You bring the energy of your gym membership on a Monday.
67,Mr. Chow,Chaos,Everything's on fire in my walk-in closet and I've never looked more unstoppable.
68,Mr. Chow,Brag,"If magnificent were illegal, I'd be doing life. Worth it."
69,Mr. Chow,Chaos,"I don't cause chaos, I just travel with a llama with attitude and a Ferrari made of smaller Ferraris."
70,Mr. Chow,Party,I'm feeding my tiger in a yacht named after me while you sleep. Sad for you.
71,Mr. Chow,Chaos,Rules are just suggestions written by people I've never met.
72,Mr. Chow,Insult,Your salad called. It wants to be left out of this.
73,Mr. Chow,Brag,"I'm outrageous, I'm rich, and I'm bored of your car."
74,Mr. Chow,Chaos,Everything's on fire in a yacht named after me and I've never looked more magnificent.
75,Mr. Chow,Chaos,Everything's on fire in the winner's circle and I've never looked more outrageous.
76,Mr. Chow,Money,I tipped my barber a solid-gold toothbrush. He wept. Deserved.
77,Mr. Chow,Chaos,Rules? In my rooftop? With me and a dramatic ostrich? Adorable.
78,Mr. Chow,Reaction,I've heard a pack of raccoons make better points about your parking job.
79,Mr. Chow,Insult,"Fixing your excuses won't help. Trust me, I've tried on you."
80,Mr. Chow,NonSequitur,I keep a very smug cat in Monte Carlo. For emotional support and intimidation.
81,Mr. Chow,Reaction,"Wow. your dance moves. Bold. Wrong, but bold."
82,Mr. Chow,Confidence,Nervous? I don't know her. We were never introduced.
83,Mr. Chow,Confidence,I could sell sand at the beach and they'd thank me.
84,Mr. Chow,Reaction,That idea about your resume? Almost fabulous. Almost.
85,Mr. Chow,Brag,"I'm legendary, I'm rich, and I'm bored of your attitude."
86,Mr. Chow,Greeting,"Toodaloo, mother-truckers!"
87,Mr. Chow,Brag,I turned your excuses into a compliment about me. That's talent.
88,Mr. Chow,Confidence,"Confidence isn't a mood for me, it's a lifestyle with a subscription."
89,Mr. Chow,Money,I just bought a champagne fountain. It's a Tuesday thing.
90,Mr. Chow,Chaos,I'll sign you up for a marching band newsletter and blame it on an angry swan. Flawless.
91,Mr. Chow,Reaction,Cute take on that outfit. I'll ignore it outrageous-ly.
92,Mr. Chow,Chaos,Rules? In my walk-in closet? With me and a llama with attitude? Adorable.
93,Mr. Chow,Brag,I just bought a tiger with a laser pointer. Because I can.
94,Mr. Chow,Brag,I once traded that outfit for a velvet parking spot. Great deal for me.
95,Mr. Chow,Confidence,Give me your group chat and I'll make it unbothered by lunch.
96,Mr. Chow,Chaos,I brought a pack of raccoons into the back of a limo and called it a plan.
97,Mr. Chow,Party,The party in the back of a limo doesn't start until I finish spending recklessly.
98,Mr. Chow,Brag,I once traded your gym membership for a private jet with a hot tub. Great deal for me.
